Branch Id,Funds Paid
BRC-bbfbdfe5-0173-4613-8b07-aadb828e67f6,$212.83 
BRC-2d047a52-d2d0-4af0-88d4-f60cad1e613c,$170.16 
BRC-5713fc98-f3fe-4a69-b9f2-f29ab079b917,$202.85 
BRC-52b071ba-5b35-4743-b219-40230551cd8c,$343.07 
BRC-b19e8df1-77b7-40f4-a290-a909eb741e5b,$203.41 
BRC-71600c03-f7fd-4c35-a963-1fe56c820825,$103.41 
BRC-29bf2018-115d-41fa-9cda-ba9698eb6abf,$312.8 
BRC-5cdf258f-4916-477e-b9da-1e60cd15cab3,$114.9 
BRC-7a16eeb4-c285-479c-b905-b6f7819d2cc0,$121.45 
BRC-3698d771-ebf5-47d7-8a55-b7910a5e61d9,$195.27 
BRC-a4150398-52f2-4797-b0af-26d88b30cf39,$197.07 
BRC-55ed5842-adff-441c-b242-b657e7d69a5a,$237.94 
BRC-c18ce67b-a514-41d7-9626-9fb6c93eb385,$83.69 
BRC-d424bad8-3cc3-4d65-ba9a-77c14face820,$258.34 
BRC-94dddc86-cf93-4d41-b082-363d23a21e00,$187.32 
BRC-0b4fa181-996b-44e2-a392-3b6b51a8fac4,$106.6 
BRC-577934f5-f781-4e1f-88b2-48b1458c47e0,$276.05 
BRC-ce86aad4-f030-47b3-b6f2-858c382437d8,$104.39 
BRC-5a6fd430-c093-4ed9-ad8b-3ad2d25f4f8e,$315.46 
BRC-770a7c74-286c-4592-8144-4c5e7f69eaa0,$188.75 
BRC-59f3ee96-0a6f-4fa1-aec9-803c3d2cd6ce,$233.1 
BRC-022992c6-0e0c-4358-bf5f-d6bac61cbcab,$99.4 
BRC-48d5e702-c481-474f-a8fa-0efead047955,$156.32 
BRC-b932844f-34c1-47e5-b3a8-5cf78c321d65,$125.05 
BRC-5a32e859-e91a-490c-b4f2-bce67695f30c,$117.9 
BRC-ea093494-a5bc-4ecf-b4c1-9f6b0eabec86,$150.99 
BRC-6bc356d6-e508-4b82-9801-8129878dabe2,$210.73 
BRC-14529809-f882-4603-aef1-dd0a3396c148,$220.46 
BRC-a2678ab8-daec-4df8-b467-f18355184435,$105.32 
BRC-534d4c42-3760-41fe-843b-6ee3e453bfca,$135.43 
