Employee Id,Corporate Source,Branch Source,Funds Paid,Status
EMP-a7f138d9-1885-43db-b5c7-6b7c09020b4f,CORP-7dc67e67-e879-4da0-8fee-7d14ba4752b8,BRC-bbfbdfe5-0173-4613-8b07-aadb828e67f6,8.15,processing
EMP-a2c0b94b-8152-497f-81b2-154de316b5fe,CORP-a9804e0b-e8b0-4837-8bbe-aabafcd483dd,BRC-2d047a52-d2d0-4af0-88d4-f60cad1e613c,1.56,processing
EMP-1e4f673d-d683-4597-958c-cb9cc4689653,CORP-55988522-7698-46ba-bddd-4bc2956a6bb4,BRC-5713fc98-f3fe-4a69-b9f2-f29ab079b917,6.72,processing
EMP-ac719fbd-0a27-4db9-9285-ee2a8e6bece4,CORP-55988522-7698-46ba-bddd-4bc2956a6bb4,BRC-52b071ba-5b35-4743-b219-40230551cd8c,1.58,processing
EMP-000285fa-d544-4bf6-8e3b-4513786c01d6,CORP-1f5ba4e7-926a-47c5-9031-b07ad1dd6261,BRC-b19e8df1-77b7-40f4-a290-a909eb741e5b,10.08,processing
EMP-be1ea697-0def-4cb3-95e3-1e24a0eac4a1,CORP-55988522-7698-46ba-bddd-4bc2956a6bb4,BRC-71600c03-f7fd-4c35-a963-1fe56c820825,4.96,processing
EMP-418af398-c967-4fc6-a5ee-5df3598245cc,CORP-a9804e0b-e8b0-4837-8bbe-aabafcd483dd,BRC-29bf2018-115d-41fa-9cda-ba9698eb6abf,4.88,processing
EMP-44572f2f-36fa-4da3-b812-66e7271c1447,CORP-7dc67e67-e879-4da0-8fee-7d14ba4752b8,BRC-2d047a52-d2d0-4af0-88d4-f60cad1e613c,7.25,processing
EMP-c8d91f03-594f-43cf-972a-7db7fac8124a,CORP-e4025d0e-0491-49ef-8284-2738c2d0a0cf,BRC-5cdf258f-4916-477e-b9da-1e60cd15cab3,7.71,processing
EMP-b671acb7-c065-4089-b1e0-157aeec8b066,CORP-55988522-7698-46ba-bddd-4bc2956a6bb4,BRC-29bf2018-115d-41fa-9cda-ba9698eb6abf,8.68,processing
EMP-fb861c54-882f-47d6-8985-9c122ab9f084,CORP-55988522-7698-46ba-bddd-4bc2956a6bb4,BRC-7a16eeb4-c285-479c-b905-b6f7819d2cc0,7.44,processing
EMP-4326919a-b4d2-4533-9ded-5036b653d8c7,CORP-1f5ba4e7-926a-47c5-9031-b07ad1dd6261,BRC-52b071ba-5b35-4743-b219-40230551cd8c,10.50,processing
EMP-282b06d8-4e37-4abe-83fa-b8d3c569f5cc,CORP-1f5ba4e7-926a-47c5-9031-b07ad1dd6261,BRC-3698d771-ebf5-47d7-8a55-b7910a5e61d9,6.33,processing
EMP-47ba543c-9f57-4ab8-a469-b829762bd201,CORP-e4025d0e-0491-49ef-8284-2738c2d0a0cf,BRC-a4150398-52f2-4797-b0af-26d88b30cf39,5.16,processing
EMP-ee3499a0-07b6-417b-995b-7ebb70ca47a7,CORP-a9804e0b-e8b0-4837-8bbe-aabafcd483dd,BRC-55ed5842-adff-441c-b242-b657e7d69a5a,6.36,processing
EMP-9800e7a2-defd-4c88-96da-c4f7dc282058,CORP-55988522-7698-46ba-bddd-4bc2956a6bb4,BRC-c18ce67b-a514-41d7-9626-9fb6c93eb385,2.06,processing
EMP-ab7b3030-c4ae-4ceb-8cfe-0d75fe65b69d,CORP-e4025d0e-0491-49ef-8284-2738c2d0a0cf,BRC-d424bad8-3cc3-4d65-ba9a-77c14face820,3.05,processing
